aeropuerto,tipo,hora,lugar,aerolinea
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:00 AM
","
                            (SEA) Seattle
                        ","
                        Icelandair
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:00 AM
","
                            (JNU) Juneau
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:00 AM
","
                            (ILI) Iliamna
                        ","
                        Iliamna Air Taxi
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:08 AM
","
                            (NRT) Tokyo
                        ","
                        UPS
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:10 AM
","
                            (ENA) Kenai
                        ","
                        Ravn Alaska
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:10 AM
","
                            (ENA) Kenai
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:25 AM
","
                            (HSV) Huntsville
                        ","
                        Atlas Air
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:25 AM
","
                            (AKN) King Salmon
                        ","
                        PenAir
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:25 AM
","
                            (AKN) King Salmon
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:25 AM
","
                            (HSV) Huntsville
                        ","
                        Cathay Pacific
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:35 AM
","
                            (SCC) Prudhoe Bay/Deadhorse
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:35 AM
","
                            (LCK) Columbus
                        ","
                        Cathay Pacific
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:45 AM
","
                            (FUK) Fukuoka
                        ","
                        Delta Air Lines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,llegada,"

                                                                8:45 AM
","
                            (ENA) Kenai
                        ","
                        Grant Aviation
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"
                        llegada
                    ","
                        Origen
                    ","
                    Transporte
                "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                6:01 AM
","
                            (RFD) Rockford
                        ","
                        UPS
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                6:14 AM
","
                            (SEA) Seattle
                        ","
                        Delta Air Lines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                6:19 AM
","
                            (OAK) Oakland
                        ","
                        FedEx
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                6:23 AM
","
                            (FAI) Fairbanks
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                6:28 AM
","
                            (MEM) Memphis
                        ","
                        FedEx
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                6:33 AM
","
                            (SDF) Louisville
                        ","
                        UPS
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                6:54 AM
","
                            (IND) Indianapolis
                        ","
                        FedEx
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                6:59 AM
","
                            (HNL) Honolulu
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                6:59 AM
","
                            (HNL) Honolulu
                        ","
                        Korean Air
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                6:59 AM
","
                            (HNL) Honolulu
                        ","
                        Qantas
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:05 AM
","
                            (ADQ) Kodiak
                        ","
                        ACE Air Cargo
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:15 AM
","
                            (ENA) Kenai
                        ","
                        Grant Aviation
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:20 AM
","
                            (HKG) Hong Kong
                        ","
                        Cathay Pacific
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:30 AM
","
                            (HKG) Hong Kong
                        ","
                        Cathay Pacific
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:34 AM
","
                            (MEM) Memphis
                        ","
                        FedEx
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:34 AM
","
                            (IND) Indianapolis
                        ","
                        FedEx
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:43 AM
","
                            (TCM) Tacoma
                        ","
                        Delta Air Lines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:45 AM
","
                            (BET) Bethel
                        ","
                        Lynden Air Cargo
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:45 AM
","
                            (ADQ) Kodiak
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:45 AM
","
                            (HOM) Homer
                        ","
                        Ravn Alaska
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:45 AM
","
                            (HOM) Homer
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                7:55 AM
","
                            (TPE) Taipei
                        ","
                        EVA Air
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                8:15 AM
","
                            (ENA) Kenai
                        ","
                        Grant Aviation
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                8:27 AM
","
                            (ENA) Kenai
                        ","
                        Ravn Alaska
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                8:27 AM
","
                            (ENA) Kenai
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                8:29 AM
","
                            (SEA) Seattle
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                8:45 AM
","
                            (ADQ) Kodiak
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                8:50 AM
","
                            (VDZ) Valdez
                        ","
                        Ravn Alaska
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                8:50 AM
","
                            (VDZ) Valdez
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                8:50 AM
","
                            (JFK) New York
                        ","
                        Kalitta Air
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                8:57 AM
","
                            (FAI) Fairbanks
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"

                                                                8:58 AM
","
                            (DLG) Dillingham
                        ","
                        ACE Air Cargo
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"
","
                            (HGH) Hangzhou
                        ","
                        Atlas Air
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"
","
                            (ENA) Kenai
                        ","
                        Ravn Alaska
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"
","
                            (KMQ) Komatsu
                        ","
                        Cargolux
                    "
https://www.aeropuertos.net/aeropuerto-internacional-ted-stevens-anchorage/,salida,"
","
                            (HKG) Hong Kong
                        ","
                        Atlas Air
                    "
https://www.aeropuertos.net/aeropuerto-de-kingman-arizona/,llegada,"
                        Partida
                    ","
                        Destino
                    ","
                    Transporte
                "
https://www.aeropuertos.net/aeropuerto-de-kingman-arizona/,llegada,"

                                                                6:05 AM
","
                            (ADQ) Kodiak
                        ","
                        Alaska Airlines
                    "
https://www.aeropuertos.net/aeropuerto-de-kingman-arizona/,llegada,"

                                                                6:10 AM
","
                            (DLG) Dillingham
                        ","
                        ACE Air Cargo
                    "
https://www.aeropuertos.net/aeropuerto-de-kingman-arizona/,llegada,"

                                                                6:10 AM
","
                            (OTZ) Kotzebue
                        ","
                        Alaska Airlines
                    "
